hw, e2
1.8525e+0,2.303e-2
1.882e+0,5.263e-2
1.9189e+0,8.224e-2
1.9434e+0,1.217e-1
1.968e+0,1.612e-1
1.9951e+0,2.204e-1
2.0172e+0,2.796e-1
2.0418e+0,3.388e-1
2.0639e+0,3.882e-1
2.0861e+0,4.572e-1
2.118e+0,5.362e-1
2.1475e+0,6.053e-1
2.1746e+0,6.743e-1
2.2016e+0,7.336e-1
2.2311e+0,8.224e-1
2.2582e+0,8.914e-1
2.2803e+0,9.704e-1
2.3025e+0,1.039e+0
2.3246e+0,1.138e+0
2.3443e+0,1.227e+0
2.359e+0,1.306e+0
2.3762e+0,1.414e+0
2.391e+0,1.523e+0
2.4082e+0,1.651e+0
2.4254e+0,1.799e+0
2.4402e+0,1.928e+0
2.4574e+0,2.115e+0
2.4697e+0,2.243e+0
2.4918e+0,2.51e+0
2.5066e+0,2.688e+0
2.5238e+0,2.914e+0
2.5336e+0,3.043e+0
2.5459e+0,3.201e+0
2.5582e+0,3.359e+0
2.573e+0,3.516e+0
2.5877e+0,3.655e+0
2.6025e+0,3.803e+0
2.6148e+0,3.931e+0
2.6295e+0,4.059e+0
2.6467e+0,4.188e+0
2.6639e+0,4.316e+0
2.6811e+0,4.444e+0
2.7008e+0,4.572e+0
2.7205e+0,4.701e+0
2.7426e+0,4.799e+0
