hw, e2
1.0130e+00,7.9640e+00
1.0180e+00,7.8680e+00
1.0220e+00,7.7890e+00
1.0280e+00,7.7080e+00
1.0320e+00,7.6240e+00
1.0370e+00,7.5470e+00
1.0420e+00,7.4640e+00
1.0470e+00,7.3880e+00
1.0520e+00,7.3040e+00
1.0570e+00,7.2290e+00
1.0610e+00,7.1480e+00
1.0660e+00,7.0660e+00
1.0700e+00,6.9960e+00
1.0730e+00,6.8830e+00
1.0820e+00,6.7740e+00
1.0870e+00,6.6970e+00
1.0920e+00,6.6200e+00
1.0990e+00,6.5340e+00
1.1030e+00,6.4570e+00
1.1080e+00,6.3740e+00
1.1130e+00,6.2950e+00
1.1180e+00,6.2150e+00
1.1240e+00,6.1330e+00
1.1290e+00,6.0530e+00
1.1350e+00,5.9730e+00
1.1390e+00,5.8890e+00
1.1420e+00,5.8290e+00
1.1430e+00,5.7230e+00
1.1570e+00,5.6200e+00
1.1610e+00,5.5380e+00
1.1650e+00,5.4580e+00
1.1760e+00,5.3830e+00
1.1800e+00,5.2160e+00
1.1850e+00,5.1430e+00
1.1890e+00,5.0600e+00
1.1940e+00,4.9790e+00
1.2000e+00,4.8970e+00
1.2070e+00,4.8170e+00
1.2130e+00,4.7360e+00
1.2220e+00,4.6540e+00
1.2310e+00,4.4960e+00
1.2380e+00,4.4190e+00
1.2440e+00,4.3400e+00
1.2500e+00,4.2610e+00
1.2570e+00,4.1700e+00
1.2650e+00,4.0810e+00
1.2700e+00,4.0040e+00
1.2750e+00,3.9560e+00
1.2820e+00,3.8590e+00
1.2960e+00,3.7560e+00
1.3040e+00,3.6760e+00
1.3110e+00,3.5970e+00
1.3200e+00,3.5140e+00
1.3290e+00,3.4450e+00
1.3480e+00,3.3100e+00
1.3540e+00,3.2360e+00
1.3630e+00,3.1570e+00
1.3740e+00,3.0770e+00
1.3840e+00,3.0020e+00
1.3970e+00,2.9240e+00
1.4090e+00,2.8320e+00
1.4180e+00,2.7600e+00
1.4320e+00,2.6790e+00
1.4410e+00,2.5870e+00
1.4630e+00,2.4920e+00
1.4780e+00,2.4100e+00
1.4920e+00,2.3250e+00
1.5220e+00,2.2010e+00
1.5350e+00,2.1340e+00
1.5540e+00,2.0650e+00
1.5740e+00,1.9950e+00
1.5920e+00,1.8940e+00
1.6150e+00,1.8260e+00
1.6410e+00,1.7320e+00
1.6690e+00,1.6670e+00
1.6970e+00,1.5980e+00
1.7300e+00,1.5320e+00
1.7660e+00,1.4680e+00
1.7960e+00,1.4150e+00
1.8340e+00,1.3540e+00
1.9140e+00,1.2840e+00
1.9520e+00,1.2640e+00
1.9900e+00,1.2460e+00
2.0320e+00,1.2800e+00
2.0550e+00,1.2710e+00
2.0780e+00,1.2890e+00
2.0990e+00,1.2950e+00
2.1380e+00,1.3520e+00
2.1800e+00,1.4260e+00
2.2090e+00,1.5030e+00
2.2340e+00,1.5410e+00
2.2740e+00,1.6350e+00
2.3010e+00,1.7310e+00
2.3380e+00,1.9020e+00
2.3610e+00,1.9980e+00
2.3800e+00,2.0990e+00
2.4120e+00,2.3200e+00
2.4250e+00,2.3990e+00
2.4330e+00,2.4920e+00
2.4410e+00,2.5780e+00
2.4550e+00,2.6870e+00
2.4650e+00,2.7890e+00
2.4820e+00,2.9380e+00
2.4910e+00,3.0680e+00
2.4970e+00,3.1850e+00
2.5050e+00,3.2560e+00
2.5190e+00,3.4730e+00
2.5310e+00,3.5870e+00
2.5410e+00,3.7290e+00
2.5460e+00,3.7850e+00
2.5560e+00,3.8600e+00
2.5630e+00,3.9750e+00
2.5760e+00,4.0830e+00
2.5940e+00,4.2160e+00
2.6050e+00,4.3010e+00
2.6100e+00,4.3910e+00
2.6250e+00,4.4810e+00
2.6330e+00,4.5700e+00
2.6460e+00,4.6510e+00
2.6690e+00,4.7980e+00
2.6920e+00,4.9370e+00
2.7140e+00,5.0390e+00
2.7330e+00,5.1510e+00
2.7620e+00,5.2480e+00
2.7850e+00,5.3380e+00
2.8090e+00,5.4250e+00
2.8460e+00,5.4820e+00
2.8820e+00,5.5560e+00
2.9160e+00,5.6370e+00
2.9540e+00,5.6940e+00
2.9970e+00,5.7200e+00
3.0350e+00,5.7620e+00
3.0730e+00,5.7530e+00
3.1070e+00,5.7860e+00
3.1460e+00,5.7970e+00
3.1830e+00,5.8000e+00
3.2110e+00,5.7690e+00
3.2450e+00,5.7630e+00
3.2820e+00,5.7480e+00
3.3190e+00,5.7350e+00
3.3500e+00,5.7160e+00
3.3850e+00,5.7330e+00
3.4260e+00,5.7480e+00
3.4530e+00,5.7130e+00
3.4930e+00,5.7490e+00
